name,School,year,Position,Drafted By,Age,height,weight,Arm Length (inches),Hand Span (inches),Bench Press (reps),forty,10-yard Split (seconds),20-yard Split (seconds),20-yard Shuttle (seconds),Three-cone Drill (seconds),Vertical Jump (inches),Broad Jump (FFII),RAS,Production
Andrew Armstrong,Arkansas,2025,WR,,,6036,202,32.125,9.5,11,4.51,1.53,,4.18,6.97,37.5,1004,9.06,7
Elic Ayomanor,Stanford,2025,WR,,,6016,206,32.375,10,,4.44,1.58,,,,38.5,1007,9.67,7.3
Elijhah Badger,Florida,2025,WR,,,6013,200,32.375,9.5,,4.43,1.53,,,,35.5,,9.44,6.8
Jack Bech,TCU,2025,WR,,,6012,214,31.5,9,,,,,4.21,6.84,34.5,1005,9.46,6.8
Isaiah Bond,Texas,2025,WR,,,5105,180,30.5,8.5,,4.39,1.51,,,,,,,6.5
Ja'Corey Brooks,Louisville,2025,WR,,,6020,184,31.625,9,,,,,,,,,,6.8
Sam Brown Jr.,Miami,2025,WR,,,6022,200,31.5,9.38,,4.44,1.52,,,,41.5,,9.87,5.8
Pat Bryant,Illinois,2025,WR,,,6022,204,31.125,9.5,,4.61,1.56,,,,37.5,1004,8.19,7.1
Luther Burden III,Missouri,2025,WR,,,6000,206,31.25,8.5,,4.41,1.54,,,,,,,7.8
Beaux Collins,Notre Dame,2025,WR,,,6030,201,31.5,9.5,,,,,,,,,,5.8
Chimere Dike,Florida,2025,WR,,,6005,196,32.125,9.125,,4.34,1.51,,4.27,6.82,38.5,1008,9.65,6
Emeka Egbuka,Ohio State,2025,WR,,,6007,202,31.5,9.5,,,,,,,,,,7.8
Da'Quan Felton,Virginia Tech,2025,WR,,,6042,213,32.25,9,,4.5,1.52,,4.3,7.1,32.5,1002,8.21,6.1
Tai Felton,Maryland,2025,WR,,,6011,183,30,9,,4.37,1.51,,,,39.5,1010,9.6,7.4
Jacolby George,Miami,2025,WR,,,5110,172,31.375,9.5,,,,,,6.77,32.5,1000,,6.7
Matthew Golden,Texas,2025,WR,,,5110,191,30.5,9.5,,4.29,1.49,,,,,,,7.4
