"Link","Name","Pos","Year","College","RAS","Alltime RAS"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27292&ovl=South Carolina"">Link</a>","Nick Emmanwori","SS","2025","South Carolina","10.00","10.00"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27236&ovl=Texas A&M"">Link</a>","Shemar Stewart","DE","2025","Texas A&M","10.00","10.00"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27130&ovl=Iowa State"">Link</a>","Darien Porter","CB","2025","Iowa State","9.99","9.99"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28284&ovl=Pittsburgh"">Link</a>","Brandon George","LB","2025","Pittsburgh","9.98","9.98"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29048&ovl=Old Dominion"">Link</a>","Pat Conroy","FB","2025","Old Dominion","9.98","9.98"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28252&ovl=Troy"">Link</a>","Landon Parker","WR","2025","Troy","9.97","9.97"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27119&ovl=Georgia"">Link</a>","Tate Ratledge","OG","2025","Georgia","9.96","9.96"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27089&ovl=Arkansas"">Link</a>","Isaac TeSlaa","WR","2025","Arkansas","9.93","9.93"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28168&ovl=UTSA"">Link</a>","Cade Collenback","LS","2025","UTSA","9.91","9.91"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27271&ovl=Louisiana State"">Link</a>","Will Campbell","OT","2025","Louisiana State","9.91","9.91"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27145&ovl=Ohio State"">Link</a>","Quinshon Judkins","RB","2025","Ohio State","9.90","9.90"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27170&ovl=Missouri"">Link</a>","Armand Membou","OT","2025","Missouri","9.90","9.90"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27485&ovl=Kentucky"">Link</a>","Eli Cox","OC","2025","Kentucky","9.90","9.90"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27455&ovl=Nebraska"">Link</a>","Isaiah Neyor","WR","2025","Nebraska","9.90","9.90"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27287&ovl=Miami"">Link</a>","Sam Brown","WR","2025","Miami","9.90","9.90"
