"Link","Name","Pos","Height RAS","Weight RAS","Arm RAS","Hand RAS","Forty RAS","Twenty RAS","Ten RAS","Bench RAS","Vertical RAS","Broad RAS","Shuttle RAS","Cone RAS","RAS"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=549&ovl=Central+Florida"">Link</a>","John Rhys Plumlee","QB","0.75","1.75",,,"9.92","9.79","8.23",,"9.64","9.71","7.94","8.69","8.81"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=15273&ovl=Brigham+Young"">Link</a>","Kedon Slovis","QB","5.64","7.16",,,"9.75","9.54","9.80",,"4.49","8.75",,,"9.34"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=15414&ovl=Kansas"">Link</a>","Jason Bean","QB","3.70","0.79",,,"9.75","9.75","8.67",,"5.15","8.75","4.23","7.58","7.42"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=15622&ovl=Southern+Mississippi"">Link</a>","Frank Gore Jr.","RB","0.97","3.43",,,"3.04","5.74","3.37","1.26","0.76","1.85",,,"0.6"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=16673&ovl=South+Dakota+State"">Link</a>","Jaxon Janke","WR","8.20","8.79",,,"5.04","3.02","8.67","7.10","8.79","7.46","1.70","1.52","6.69"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=17194&ovl=Southern+California"">Link</a>","Tahj Washington","WR","1.94","1.09",,,"6.94","5.87","3.33",,"6.14","6.86","7.02","8.41","5.13"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=17196&ovl=Virginia"">Link</a>","Malik Washington","WR","0.83","4.30",,,"8.22","7.22","7.28","9.14","9.96","8.71","6.20","8.09","8.63"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=17304&ovl=South+Dakota+State"">Link</a>","Zach Heins","TE","9.36","8.47",,,"1.68","1.04","3.24",,"2.01","1.99","3.67","1.51","2.2"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=17310&ovl=Brigham+Young"">Link</a>","Isaac Rex","TE","8.31","4.34",,,"2.73","3.47","1.90","8.86","0.75",,"0.15","3.86","2.44"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=17320&ovl=Texas"">Link</a>","Ja'Tavion Sanders","TE","4.49","3.58",,,"8.24","8.58","9.15","0.20","2.79","5.28","7.78",,"5.75"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19075&ovl=Eastern+Kentucky"">Link</a>","Josiah Ezirim","OT","6.03","8.83",,,"7.80","6.22","1.60","8.76","7.47","9.51",,,"8.51"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19077&ovl=Central+Florida"">Link</a>","Tylan Grable","OT","6.03","4.29",,,"9.63","9.74","9.80",,"9.95","9.87",,,"9.85"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19078&ovl=South+Dakota+State"">Link</a>","Garret Greenfield","OT","6.03","5.72",,,"6.47","7.46","8.66",,"10.00","9.51","3.89","6.51","8.67"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19080&ovl=Pittsburgh"">Link</a>","Matt Goncalves","OT","7.48","8.71",,,"6.99","7.18","7.50","2.71","8.38",,"3.26",,"7.69"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19081&ovl=Holy+Cross"">Link</a>","C.J. Hanson","OG","8.55","2.68",,,"9.61","9.26","8.78",,"9.82","9.82",,,"9.85"
