,year,name,college,pos,height,weight,forty,bench,vertical,broad jump,shuttle,3-cone
0,2021,Jonathan Adams,Arkansas State,WR,74.00,210,4.59,,39.0,132,4.38,7.04
1,2021,Tutu Atwell,Louisville,WR,68.88,155,4.39,,33.0,117,4.09,6.87
2,2021,Jhamon Ausbon,Texas A&M,WR,74.38,217,4.72,,33.0,118,4.28,6.89
3,2021,Kawaan Baker,South Alabama,WR,72.50,210,4.45,21,39.5,129,4.41,7.42
4,2021,Rashod Bateman,Minnesota,WR,72.38,190,4.43,,36.0,123,4.35,6.95
5,2021,Tarik Black,Texas,WR,74.75,213,4.54,15,40.0,132,4.26,6.91
6,2021,Rico Bussey,Hawaii,WR,72.38,186,4.50,13,38.5,124,4.26,7.21
7,2021,Jalen Camp,Georgia Tech,WR,73.88,226,4.48,29,39.5,125,4.14,7.00
8,2021,Ja'Marr Chase,Louisiana State,WR,72.38,201,4.34,,41.0,132,3.99,6.96
9,2021,Nico Collins,Michigan,WR,76.13,215,4.45,14,37.5,125,4.32,6.79
10,2021,Donnie Corley,Texas Southern,WR,73.75,195,4.59,13,34.0,123,4.29,6.83
11,2021,Damonte Coxie,Memphis,WR,74.13,198,4.77,4,30.5,122,4.45,6.92
12,2021,Frank Darby,Arizona State,WR,72.00,201,4.61,19,34.5,117,4.23,7.15
13,2021,Jaelon Darden,North Texas,WR,67.63,174,4.46,11,35.5,122,4.10,6.67
14,2021,D'Wayne Eskridge,Western Michigan,WR,68.75,190,4.40,,35.0,124,4.27,6.95
15,2021,Dez Fitzpatrick,Louisville,WR,73.75,208,4.49,,35.0,100,4.25,7.06
16,2021,Bailey Gaither,San Jose State,WR,72.00,188,4.48,9,31.0,121,4.39,7.07
17,2021,Trevon Grimes,Florida,WR,76.00,220,4.50,15,35.0,118,4.26,7.00
18,2021,Adrian Hardy,Louisiana Tech,WR,73.00,205,4.61,12,37.5,124,4.50,6.96
19,2021,Jacob Harris,Central Florida,WR,77.00,219,4.43,15,40.5,133,4.31,6.51
20,2021,Damon Hazelton,Missouri,WR,74.75,206,4.64,,37.5,120,4.32,7.11
21,2021,Josh Imatorbhebhe,Illinois,WR,72.88,218,4.53,24,46.5,134,4.38,7.10
22,2021,Warren Jackson,Colorado State,WR,78.00,219,4.72,11,33.5,123,4.51,7.71
23,2021,Terrell Jana,Virginia,WR,71.13,195,4.69,17,32.0,110,4.13,7.05
